Company,Role,Status,Deadline
Tech Mahindra,ML Engineer,Selected,2026-02-18
Infosys,Frontend Developer,Selected,2025-09-17
Amazon,Cloud Engineer,Applied,2025-07-07
TCS,Backend Developer,Rejected,2026-04-03
Infosys,Data Analyst,OA Cleared,2025-09-04
Infosys,Backend Developer,Selected,2026-01-13
Capgemini,Data Analyst,Selected,2025-10-01
Capgemini,ML Engineer,Interview,2026-01-19
Infosys,DevOps Engineer,OA Cleared,2026-03-09
Google,Data Analyst,OA Cleared,2026-04-10
TCS,DevOps Engineer,Applied,2025-02-17
HCL,Backend Developer,Interview,2026-01-19
Deloitte,ML Engineer,Rejected,2025-05-06
Tech Mahindra,Frontend Developer,Selected,2025-07-25
Microsoft,Software Engineer,Selected,2025-09-25
Tech Mahindra,Data Analyst,Rejected,2026-02-23
Amazon,Data Analyst,OA Cleared,2026-03-12
Cognizant,Software Engineer,Interview,2026-03-25
Zoho,Frontend Developer,Rejected,2025-01-12
Accenture,Data Analyst,OA Cleared,2025-05-14
HCL,ML Engineer,Selected,2025-10-10
Cognizant,Frontend Developer,Interview,2025-12-26
Infosys,DevOps Engineer,Rejected,2025-08-14
Tech Mahindra,ML Engineer,OA Cleared,2026-03-08
Google,DevOps Engineer,Interview,2026-05-11
Capgemini,Backend Developer,Rejected,2025-10-03
HCL,ML Engineer,Rejected,2025-04-22
Capgemini,Cloud Engineer,Rejected,2025-01-16
Accenture,Software Engineer,OA Cleared,2025-11-22
Cognizant,SDE Intern,Selected,2025-05-02
HCL,SDE Intern,Applied,2025-02-02
IBM,Cloud Engineer,OA Cleared,2025-02-25
Capgemini,Frontend Developer,Rejected,2025-11-30
TCS,Cloud Engineer,Selected,2026-01-24
Zoho,Backend Developer,OA Cleared,2026-05-11
Accenture,Backend Developer,Rejected,2025-04-10
Wipro,Data Analyst,OA Cleared,2025-04-10
TCS,Software Engineer,Rejected,2026-04-23
HCL,Software Engineer,Applied,2026-02-18
Oracle,SDE Intern,Applied,2025-02-19
Oracle,Data Analyst,OA Cleared,2025-10-29
IBM,Frontend Developer,OA Cleared,2025-03-14
Capgemini,Data Analyst,Applied,2025-07-17
IBM,Backend Developer,Interview,2025-01-19
Accenture,Cloud Engineer,OA Cleared,2025-10-20
Deloitte,Cloud Engineer,Rejected,2026-05-03
Amazon,Backend Developer,Interview,2026-01-15
Tech Mahindra,Data Analyst,Selected,2025-08-09
IBM,DevOps Engineer,Rejected,2025-02-24
Oracle,Frontend Developer,Rejected,2025-07-08
Oracle,SDE Intern,Rejected,2025-01-16
Zoho,Backend Developer,OA Cleared,2025-12-24
Google,Frontend Developer,Rejected,2025-04-13
Cognizant,DevOps Engineer,Interview,2025-09-26
TCS,SDE Intern,Selected,2025-04-19
HCL,DevOps Engineer,Interview,2025-05-31
Deloitte,Data Analyst,OA Cleared,2025-12-28
Deloitte,DevOps Engineer,Selected,2025-05-15
Infosys,Frontend Developer,Interview,2025-03-16
Deloitte,Cloud Engineer,OA Cleared,2026-03-12
HCL,ML Engineer,Selected,2025-01-08
HCL,Backend Developer,OA Cleared,2025-08-26
Amazon,DevOps Engineer,Rejected,2025-10-25
Oracle,SDE Intern,Rejected,2025-10-11
IBM,Frontend Developer,Selected,2025-03-19
Google,SDE Intern,OA Cleared,2025-01-22
Deloitte,Cloud Engineer,Rejected,2026-03-06
Cognizant,Backend Developer,Selected,2025-01-27
Deloitte,Software Engineer,Interview,2026-01-14
Tech Mahindra,ML Engineer,Applied,2026-03-23
Capgemini,Frontend Developer,OA Cleared,2026-02-04
Wipro,Frontend Developer,Selected,2026-03-07
Wipro,SDE Intern,Applied,2026-01-09
Accenture,Backend Developer,Selected,2025-08-29
Amazon,SDE Intern,Applied,2025-11-09
IBM,Backend Developer,Applied,2025-11-13
Capgemini,Software Engineer,OA Cleared,2025-04-06
IBM,ML Engineer,Selected,2025-04-02
Oracle,Software Engineer,Rejected,2025-06-27
Wipro,Backend Developer,Selected,2026-04-09
HCL,Cloud Engineer,Interview,2025-07-07
IBM,Cloud Engineer,Applied,2025-06-23
Google,Frontend Developer,Selected,2025-07-09
HCL,Backend Developer,OA Cleared,2026-05-14
Cognizant,Software Engineer,OA Cleared,2026-05-04
Capgemini,Software Engineer,Applied,2026-05-11
TCS,ML Engineer,Rejected,2025-11-11
Google,Frontend Developer,Rejected,2026-04-23
Tech Mahindra,Cloud Engineer,Rejected,2026-05-09
Zoho,Software Engineer,Applied,2025-05-03
Oracle,SDE Intern,Interview,2025-11-22
Wipro,DevOps Engineer,Applied,2026-03-26
Cognizant,ML Engineer,Interview,2025-05-14
Google,Software Engineer,Selected,2026-02-19
Oracle,Backend Developer,Applied,2025-11-29
Amazon,Backend Developer,OA Cleared,2026-02-24
Microsoft,Software Engineer,Interview,2025-01-20
IBM,Backend Developer,Applied,2026-03-02
Wipro,Frontend Developer,Interview,2025-05-05
Oracle,ML Engineer,Selected,2025-01-22
