Date,Amount,Category,Description
2025-12-06,450.37,Subscriptions,Spotify
2026-04-08,826.12,Subscriptions,Hotstar
2025-08-30,1266.98,Travel,Auto Ride
2026-04-09,2459.35,Subscriptions,Hotstar
2025-11-16,295.2,Gym,Shaker Bottle
2025-11-23,4337.2,Travel,Bus Ticket
2026-03-21,1558.06,Education,Course
2026-01-02,4503.5,Health,Medicines
2025-03-21,988.68,Groceries,Vegetables
2025-06-18,4018.27,Food,Coffee
2025-03-24,3616.13,Groceries,Fruits
2026-01-22,738.33,Entertainment,Movie
2025-07-27,1136.51,Subscriptions,Hotstar
2025-09-30,1165.43,Health,Protein Powder
2026-01-26,4434.03,Bills,Mobile Recharge
2025-06-24,4967.29,Bills,Electricity
2025-03-15,2424.53,Shopping,Electronics
2025-06-27,3846.29,Gym,Shaker Bottle
2025-05-03,1581.67,Subscriptions,Spotify
2026-03-15,3712.23,Groceries,Milk
2026-02-25,1820.47,Education,Exam Fee
2026-01-31,2397.92,Subscriptions,Spotify
2025-11-16,540.0,Gym,Gym Fee
2025-08-26,3657.94,Shopping,Shoes
2025-09-21,2138.07,Gym,Gym Fee
2025-02-03,4192.77,Subscriptions,Hotstar
2025-02-05,492.83,Food,Snacks
2025-06-28,1926.09,Shopping,Accessories
2025-11-17,2186.33,Food,Dinner
2025-10-14,3413.77,Bills,Internet
2025-03-22,4960.84,Shopping,Accessories
2026-02-02,192.19,Education,Books
2025-11-01,3644.65,Entertainment,Concert
2025-06-20,1962.11,Travel,Train Ticket
2025-12-02,4196.55,Subscriptions,Spotify
2025-12-27,2823.56,Education,Exam Fee
2025-12-12,188.9,Bills,Electricity
2025-04-22,971.27,Food,Dinner
2026-01-25,2777.41,Gym,Gym Fee
2026-05-01,4033.13,Gym,Gym Fee
2026-03-09,1082.36,Subscriptions,Spotify
2025-12-31,3378.23,Health,Doctor Visit
2026-03-03,2345.15,Travel,Fuel
2025-01-02,4963.44,Gym,Supplements
2025-05-27,2508.92,Gym,Gym Fee
2025-06-17,3122.48,Shopping,Shoes
2025-08-31,210.38,Gym,Shaker Bottle
2025-02-01,4629.47,Bills,Mobile Recharge
2026-01-20,2655.96,Shopping,Electronics
2026-01-07,4420.22,Health,Doctor Visit
2025-06-14,3218.16,Shopping,Shoes
2025-07-10,4528.98,Health,Protein Powder
2026-05-02,1497.32,Food,Chicken Roll
2025-04-27,4891.94,Health,Protein Powder
2025-01-02,2706.23,Food,Lunch
2025-05-05,4113.73,Health,Doctor Visit
2025-07-21,1585.25,Subscriptions,Hotstar
2025-08-03,1222.75,Bills,Electricity
2025-06-19,2162.23,Travel,Train Ticket
2025-03-09,1800.67,Entertainment,Game Purchase
2025-04-25,1870.4,Health,Doctor Visit
2026-03-04,2550.85,Food,Snacks
2025-01-27,302.35,Food,Pizza
2025-10-17,1786.32,Subscriptions,Spotify
2026-02-19,1342.33,Travel,Train Ticket
2025-01-06,1617.32,Entertainment,Game Purchase
2026-03-12,2052.3,Food,Coffee
2025-05-13,1810.77,Shopping,Accessories
2025-01-23,2662.74,Health,Doctor Visit
2026-02-14,4531.18,Groceries,Rice
2025-02-01,4961.1,Health,Medicines
2026-03-07,4139.81,Gym,Supplements
2025-01-24,3838.85,Health,Medicines
2025-09-16,688.81,Groceries,Milk
2026-03-03,340.61,Subscriptions,Spotify
2025-05-15,2649.54,Bills,Mobile Recharge
2025-02-05,2548.01,Shopping,Accessories
2025-07-09,278.45,Groceries,Rice
2025-12-05,1958.37,Food,Chicken Roll
2025-04-12,4299.81,Entertainment,Netflix
2025-12-22,2232.87,Health,Protein Powder
2025-08-12,456.12,Health,Doctor Visit
2025-04-19,1002.05,Health,Medicines
2025-08-06,3381.85,Health,Doctor Visit
2025-08-21,1600.76,Gym,Shaker Bottle
2026-04-24,2031.81,Travel,Auto Ride
2025-11-28,1347.26,Entertainment,Movie
2025-12-20,1837.4,Bills,Internet
2025-04-18,1656.75,Gym,Gym Fee
2025-10-03,1660.52,Groceries,Rice
2026-04-12,965.22,Education,Books
2026-03-26,1169.61,Groceries,Vegetables
2025-03-01,4133.36,Gym,Gym Fee
2025-10-23,2367.62,Health,Protein Powder
2025-09-27,1092.0,Health,Medicines
2026-05-13,3876.96,Gym,Gym Fee
2025-07-16,4441.45,Education,Exam Fee
2025-10-19,2978.21,Shopping,Electronics
2025-04-27,2455.76,Food,Dinner
2025-10-04,3811.49,Gym,Shaker Bottle
2026-05-06,1033.88,Groceries,Rice
2025-12-29,2567.2,Groceries,Fruits
2025-12-23,2723.02,Food,Lunch
2026-03-30,1713.94,Education,Course
2025-06-28,1522.27,Shopping,Accessories
2025-05-23,4176.25,Gym,Supplements
2025-10-03,300.99,Food,Dinner
2025-05-25,2992.78,Travel,Auto Ride
2025-06-26,587.5,Gym,Gym Fee
2025-11-07,4129.67,Groceries,Fruits
2026-04-08,3621.46,Gym,Shaker Bottle
2025-08-24,2074.48,Education,Books
2025-04-06,4778.41,Education,Books
2026-01-20,3670.41,Entertainment,Concert
2025-06-17,2386.72,Health,Protein Powder
2025-03-04,4087.99,Bills,Electricity
2025-11-12,3514.25,Groceries,Rice
2026-01-07,3963.07,Groceries,Vegetables
2026-04-20,3278.18,Travel,Auto Ride
2025-04-25,3217.44,Gym,Gym Fee
2025-11-12,4653.49,Travel,Bus Ticket
2026-04-25,3244.18,Gym,Gym Fee
2025-03-11,644.54,Entertainment,Movie
2025-12-21,1538.42,Health,Doctor Visit
2026-04-25,1411.46,Entertainment,Netflix
2025-07-31,1472.96,Education,Course
2026-02-05,1637.19,Entertainment,Netflix
2025-04-03,3942.46,Gym,Gym Fee
2025-09-11,533.06,Gym,Gym Fee
2026-01-29,4448.14,Subscriptions,Prime Video
2025-11-10,1957.98,Subscriptions,Hotstar
2026-04-24,2137.97,Gym,Supplements
2026-03-22,4006.96,Health,Protein Powder
2025-05-09,1323.87,Food,Chicken Roll
2025-06-02,2507.26,Food,Lunch
2025-02-09,4744.78,Bills,Electricity
2025-04-18,1275.35,Health,Medicines
2025-08-11,4576.77,Gym,Supplements
2026-02-18,4035.15,Travel,Fuel
2025-06-02,4495.94,Subscriptions,Prime Video
2025-07-31,2839.31,Bills,Electricity
2025-09-11,2498.06,Subscriptions,Spotify
2025-08-02,4465.24,Shopping,Shoes
2025-07-18,3864.25,Groceries,Vegetables
2026-02-25,4880.17,Subscriptions,Hotstar
2025-09-11,4702.76,Education,Books
2025-06-30,1073.97,Subscriptions,Hotstar
2025-03-15,3257.56,Education,Course
2025-07-01,2529.93,Entertainment,Netflix
2025-02-23,659.99,Gym,Supplements
2025-03-14,3646.66,Travel,Fuel
2025-04-24,153.37,Subscriptions,Spotify
2025-01-03,2947.81,Bills,Electricity
2025-09-28,438.27,Travel,Auto Ride
2025-09-20,1808.98,Shopping,Shoes
2025-11-11,806.49,Bills,Electricity
2026-05-06,697.81,Health,Medicines
2025-07-22,1465.23,Health,Doctor Visit
2026-05-01,1883.8,Gym,Shaker Bottle
2026-05-14,2316.23,Subscriptions,Spotify
2026-04-04,1522.7,Entertainment,Concert
2025-03-16,1068.07,Gym,Shaker Bottle
2025-10-19,4661.66,Food,Dinner
2025-06-10,4903.73,Shopping,Shoes
2026-03-20,563.05,Shopping,Shoes
2026-04-15,1378.29,Travel,Fuel
2025-06-18,4395.8,Entertainment,Netflix
2025-06-19,2922.59,Travel,Train Ticket
2025-06-17,2107.02,Subscriptions,Spotify
2025-12-23,4378.69,Travel,Auto Ride
2025-02-13,2195.5,Entertainment,Netflix
2025-06-28,3868.22,Bills,Internet
2025-01-24,766.46,Gym,Gym Fee
2025-02-27,2421.98,Groceries,Fruits
2025-01-13,4367.67,Health,Medicines
2025-05-08,874.08,Food,Pizza
2025-11-27,838.79,Health,Protein Powder
2025-12-27,4135.38,Subscriptions,Hotstar
2025-12-22,793.65,Education,Course
2025-12-14,1037.66,Education,Course
2025-06-18,1397.12,Subscriptions,Hotstar
2025-09-08,2985.47,Gym,Gym Fee
2026-02-08,4456.85,Food,Chicken Roll
2025-12-05,3251.42,Subscriptions,Spotify
2025-10-08,620.0,Health,Protein Powder
2025-10-19,2262.04,Shopping,Clothes
2026-05-05,3791.81,Bills,Electricity
2025-04-06,1340.4,Health,Protein Powder
2025-11-24,4002.83,Entertainment,Concert
2025-10-26,432.9,Entertainment,Concert
2026-04-20,1275.9,Entertainment,Game Purchase
2025-08-01,1292.99,Food,Coffee
2025-08-26,2333.78,Groceries,Fruits
2025-07-27,3141.25,Education,Exam Fee
2025-02-10,4335.0,Groceries,Milk
2025-03-23,2445.5,Subscriptions,Spotify
2025-01-15,4744.24,Subscriptions,Prime Video
2025-12-21,2807.77,Subscriptions,Spotify
2026-01-18,4916.39,Entertainment,Concert
2025-05-11,2722.39,Shopping,Clothes
2025-03-25,2017.8,Gym,Gym Fee
2026-01-09,2119.49,Health,Protein Powder
2026-03-01,2908.25,Travel,Bus Ticket
2025-01-02,4171.7,Entertainment,Movie
2026-03-11,1455.0,Bills,Electricity
2025-07-25,829.6,Subscriptions,Spotify
2025-01-18,4700.42,Shopping,Accessories
2026-04-27,1257.09,Travel,Fuel
2025-04-24,3545.59,Food,Chicken Roll
2025-06-01,2437.88,Bills,Internet
2025-10-04,1133.78,Food,Chicken Roll
2025-01-18,3882.7,Entertainment,Movie
2025-11-03,2980.12,Bills,Mobile Recharge
2026-03-16,1823.96,Health,Doctor Visit
2026-03-24,2960.13,Entertainment,Movie
2026-01-16,3032.63,Bills,Electricity
2025-09-24,2348.88,Entertainment,Game Purchase
2025-01-08,305.79,Education,Books
2025-10-03,2916.45,Shopping,Accessories
2025-10-17,1226.66,Groceries,Milk
2025-11-27,2501.38,Groceries,Vegetables
2025-06-20,1830.16,Travel,Fuel
2026-05-11,1039.96,Travel,Fuel
2025-08-29,3488.31,Food,Coffee
2026-01-08,2224.97,Health,Protein Powder
2025-09-18,2678.42,Gym,Supplements
2025-02-27,1185.85,Gym,Shaker Bottle
2025-04-23,2426.42,Groceries,Vegetables
2025-05-29,2202.47,Health,Medicines
2025-08-11,1710.05,Shopping,Electronics
2025-01-17,4741.4,Subscriptions,Prime Video
2025-09-08,4503.38,Gym,Shaker Bottle
2026-01-01,1669.17,Groceries,Milk
2026-04-30,3552.18,Health,Protein Powder
2025-07-17,4869.2,Bills,Electricity
2025-03-07,2094.05,Travel,Auto Ride
2026-03-31,4261.87,Gym,Shaker Bottle
2025-04-07,2454.49,Shopping,Shoes
2025-10-19,3803.88,Shopping,Clothes
2026-02-09,157.81,Travel,Bus Ticket
2025-07-23,2094.75,Health,Protein Powder
2026-01-18,3083.51,Subscriptions,Prime Video
2025-06-22,342.12,Shopping,Accessories
2025-02-17,103.35,Travel,Bus Ticket
2025-03-22,3840.82,Education,Exam Fee
2025-10-04,3140.92,Subscriptions,Spotify
2026-04-13,876.65,Food,Snacks
2026-01-28,1619.13,Health,Protein Powder
2025-09-16,1809.98,Shopping,Electronics
2026-02-06,4635.81,Food,Snacks
2025-04-01,1293.62,Travel,Fuel
2025-06-06,1566.21,Bills,Electricity
2025-12-17,1899.61,Education,Exam Fee
2025-10-11,2673.66,Bills,Mobile Recharge
2025-05-02,4735.54,Bills,Electricity
2025-11-26,1682.64,Groceries,Rice
